Timepoint,Enhancer,Coding gene,Image number,Nucleus number,Enhancer spot number,Coding gene spot,Overlapped enhancer number,
24,S+AS,KLF6,5,99,1,2,1,
24,S+AS,KLF6,5,100,0,2,0,
0,S+AS,PDK2,1,1,0,0,0,
0,S+AS,PDK2,1,2,0,0,0,
0,S+AS,PDK2,1,3,0,0,0,
0,S+AS,PDK2,1,4,1,0,0,
0,S+AS,PDK2,1,5,0,0,0,
0,S+AS,PDK2,1,6,1,1,0,
0,S+AS,PDK2,1,7,0,1,0,
0,S+AS,PDK2,1,8,0,2,0,
0,S+AS,PDK2,1,9,0,0,0,
0,S+AS,PDK2,1,10,0,1,0,
0,S+AS,PDK2,1,11,0,2,0,
0,S+AS,PDK2,1,12,0,0,0,
0,S+AS,PDK2,1,13,0,0,0,
0,S+AS,PDK2,1,14,0,0,0,
0,S+AS,PDK2,1,15,0,0,0,
0,S+AS,PDK2,1,16,0,0,0,
0,S+AS,PDK2,1,17,0,2,0,
0,S+AS,PDK2,1,18,0,1,0,
0,S+AS,PDK2,1,19,0,0,0,
0,S+AS,PDK2,1,20,0,0,0,
0,S+AS,PDK2,1,21,0,0,0,
0,S+AS,PDK2,1,22,0,0,0,
0,S+AS,PDK2,1,23,0,1,0,
0,S+AS,PDK2,1,24,0,2,0,
0,S+AS,PDK2,1,25,0,1,0,
0,S+AS,PDK2,1,26,0,0,0,
0,S+AS,PDK2,1,27,1,0,0,
0,S+AS,PDK2,1,28,0,0,0,
0,S+AS,PDK2,1,29,0,0,0,
0,S+AS,PDK2,1,30,0,0,0,
0,S+AS,PDK2,1,31,0,1,0,
0,S+AS,PDK2,1,32,0,0,0,
0,S+AS,PDK2,1,33,1,0,0,
0,S+AS,PDK2,1,34,0,0,0,
0,S+AS,PDK2,1,35,0,0,0,
0,S+AS,PDK2,1,36,0,0,0,
0,S+AS,PDK2,1,37,2,0,0,
0,S+AS,PDK2,1,38,0,0,0,
0,S+AS,PDK2,1,39,0,1,0,
0,S+AS,PDK2,1,40,0,0,0,
0,S+AS,PDK2,1,41,1,1,0,
0,S+AS,PDK2,1,42,0,0,0,
0,S+AS,PDK2,1,43,0,0,0,
0,S+AS,PDK2,1,44,0,0,0,
0,S+AS,PDK2,1,45,0,0,0,
0,S+AS,PDK2,2,46,0,0,0,
0,S+AS,PDK2,2,47,0,1,0,
0,S+AS,PDK2,2,48,0,0,0,
0,S+AS,PDK2,2,49,0,0,0,
0,S+AS,PDK2,2,50,0,0,0,
0,S+AS,PDK2,2,51,1,0,0,
0,S+AS,PDK2,2,52,0,0,0,
0,S+AS,PDK2,2,53,0,0,0,
0,S+AS,PDK2,2,54,0,1,0,
0,S+AS,PDK2,2,55,0,0,0,
0,S+AS,PDK2,2,56,0,0,0,
0,S+AS,PDK2,2,57,1,0,0,
0,S+AS,PDK2,2,58,0,0,0,
0,S+AS,PDK2,2,59,0,0,0,
0,S+AS,PDK2,2,60,0,0,0,
0,S+AS,PDK2,2,61,0,0,0,
0,S+AS,PDK2,2,62,0,0,0,
0,S+AS,PDK2,2,63,0,0,0,
0,S+AS,PDK2,2,64,0,0,0,
0,S+AS,PDK2,2,65,0,0,0,
0,S+AS,PDK2,2,66,0,0,0,
0,S+AS,PDK2,2,67,0,0,0,
0,S+AS,PDK2,2,68,0,0,0,
0,S+AS,PDK2,2,69,0,0,0,
0,S+AS,PDK2,2,70,0,0,0,
0,S+AS,PDK2,2,71,0,0,0,
0,S+AS,PDK2,2,72,0,0,0,
0,S+AS,PDK2,2,73,1,0,0,
0,S+AS,PDK2,2,74,0,0,0,
0,S+AS,PDK2,2,75,1,0,0,
0,S+AS,PDK2,2,76,0,0,0,
0,S+AS,PDK2,2,77,0,0,0,
0,S+AS,PDK2,2,78,1,0,0,
0,S+AS,PDK2,2,79,0,1,0,
0,S+AS,PDK2,2,80,0,2,0,
0,S+AS,PDK2,2,81,0,1,0,
0,S+AS,PDK2,2,82,0,1,0,
0,S+AS,PDK2,2,83,0,0,0,
0,S+AS,PDK2,2,84,0,0,0,
0,S+AS,PDK2,2,85,0,0,0,
0,S+AS,PDK2,3,86,0,0,0,
0,S+AS,PDK2,3,87,1,1,0,
0,S+AS,PDK2,3,88,2,0,0,
0,S+AS,PDK2,3,89,0,0,0,
0,S+AS,PDK2,3,90,1,0,0,
0,S+AS,PDK2,3,91,0,0,0,
0,S+AS,PDK2,3,92,0,0,0,
0,S+AS,PDK2,3,93,0,0,0,
0,S+AS,PDK2,3,94,0,0,0,
0,S+AS,PDK2,3,95,0,0,0,
0,S+AS,PDK2,3,96,0,1,0,
0,S+AS,PDK2,3,97,0,0,0,
0,S+AS,PDK2,3,98,1,0,0,
0,S+AS,PDK2,3,99,0,1,0,
0,S+AS,PDK2,3,100,0,0,0,
6,S+AS,PDK2,1,1,1,0,0,
6,S+AS,PDK2,1,2,0,0,0,
6,S+AS,PDK2,1,3,0,0,0,
6,S+AS,PDK2,1,4,0,0,0,
6,S+AS,PDK2,1,5,1,0,0,
6,S+AS,PDK2,1,6,1,0,0,
6,S+AS,PDK2,1,7,0,0,0,
6,S+AS,PDK2,1,8,2,0,0,
6,S+AS,PDK2,1,9,0,0,0,
6,S+AS,PDK2,1,10,1,0,0,
6,S+AS,PDK2,1,11,0,1,0,
6,S+AS,PDK2,1,12,0,0,0,
6,S+AS,PDK2,1,13,0,0,0,
6,S+AS,PDK2,1,14,2,2,0,
6,S+AS,PDK2,1,15,1,0,0,
6,S+AS,PDK2,1,16,1,0,0,
6,S+AS,PDK2,1,17,0,0,0,
6,S+AS,PDK2,1,18,0,0,0,
6,S+AS,PDK2,1,19,0,0,0,
6,S+AS,PDK2,1,20,0,0,0,
6,S+AS,PDK2,1,21,0,0,0,
6,S+AS,PDK2,1,22,0,0,0,
6,S+AS,PDK2,1,23,0,0,0,
6,S+AS,PDK2,1,24,0,0,0,
6,S+AS,PDK2,1,25,1,0,0,
6,S+AS,PDK2,1,26,0,0,0,
6,S+AS,PDK2,1,27,2,0,0,
6,S+AS,PDK2,1,28,0,0,0,
6,S+AS,PDK2,1,29,0,0,0,
6,S+AS,PDK2,1,30,0,0,0,
6,S+AS,PDK2,1,31,0,0,0,
6,S+AS,PDK2,1,32,1,0,0,
6,S+AS,PDK2,1,33,0,0,0,
6,S+AS,PDK2,1,34,0,1,0,
6,S+AS,PDK2,1,35,0,2,0,
6,S+AS,PDK2,1,36,0,0,0,
6,S+AS,PDK2,1,37,0,0,0,
6,S+AS,PDK2,1,38,0,0,0,
6,S+AS,PDK2,1,39,0,0,0,
6,S+AS,PDK2,1,40,0,0,0,
6,S+AS,PDK2,1,41,0,0,0,
6,S+AS,PDK2,2,42,1,1,0,
6,S+AS,PDK2,2,43,0,0,0,
6,S+AS,PDK2,2,44,0,0,0,
6,S+AS,PDK2,2,45,0,0,0,
6,S+AS,PDK2,2,46,0,0,0,
6,S+AS,PDK2,2,47,0,0,0,
6,S+AS,PDK2,2,48,0,0,0,
6,S+AS,PDK2,2,49,0,0,0,
6,S+AS,PDK2,2,50,0,0,0,
6,S+AS,PDK2,2,51,0,1,0,
6,S+AS,PDK2,2,52,0,0,0,
6,S+AS,PDK2,2,53,0,0,0,
6,S+AS,PDK2,2,54,0,0,0,
6,S+AS,PDK2,2,55,0,1,0,
6,S+AS,PDK2,2,56,0,0,0,
6,S+AS,PDK2,2,57,0,0,0,
6,S+AS,PDK2,2,58,0,0,0,
6,S+AS,PDK2,2,59,1,0,0,
6,S+AS,PDK2,2,60,0,0,0,
6,S+AS,PDK2,2,61,0,0,0,
6,S+AS,PDK2,2,62,1,0,0,
